Well	Surface	MD	missing	Type
Yabl_002	V-18n_top	4335.0	-999	HORIZON
Yabl_002	V-18n_base	4358.0	-999	HORIZON
Yabl_002	V-19_top	4370.0	-999	HORIZON
Yabl_002	V-19_base	4399.0	-999	HORIZON
Yabl_002	V-20_top	4421.0	-999	HORIZON
Yabl_002	V-20_base	4459.0	-999	HORIZON
Yabl_002	V-21_top	4459.0	-999	HORIZON
Yabl_002	V-21_base	4476.0	-999	HORIZON
Yabl_002	V-22_top	4559.0	-999	HORIZON
Yabl_002	V-22_base	4605.0	-999	HORIZON
Yabl_002	V-22v_top	4559.0	-999	HORIZON
Yabl_002	V-22v_base	4569.0	-999	HORIZON
Yabl_002	V-22n_top	4578.0	-999	HORIZON
Yabl_002	V-22n_base	4605.0	-999	HORIZON
Yabl_002	V-23_top	4636.0	-999	HORIZON
Yabl_002	V-23_base	4693.0	-999	HORIZON
Yabl_002	V-24_top	4693.0	-999	HORIZON
Yabl_002	V-25_base	4840.0	-999	HORIZON
Yabl_002	V-26_top	4858.0	-999	HORIZON
Yabl_002	V-26_base	4998.0	-999	HORIZON
Yabl_002	T-1_top	4998.0	-999	HORIZON
Yabl_002	T-1_base	5156.0	-999	HORIZON
Yabl_002	D3fm2 (oz-hv)_top	5156.0	-999	HORIZON
Yabl_002	D3fm2 (oz-hv)_base	5200.0	-999	HORIZON
Yabl_003	M-1_top	3195.0	-999	HORIZON
Yabl_003	M1_base	3228.0	-999	HORIZON
Yabl_003	M-2_top	3242.0	-999	HORIZON
Yabl_003	M-2_base	3291.0	-999	HORIZON
Yabl_003	M-3_top	3309.0	-999	HORIZON
Yabl_003	M-3_base	3401.0	-999	HORIZON
Yabl_003	M-4_top	3422.0	-999	HORIZON
Yabl_003	M-4_base	3439.0	-999	HORIZON
Yabl_003	M-5v_top	3462.0	-999	HORIZON
Yabl_003	M-5v_base	3480.0	-999	HORIZON
Yabl_003	M-5n_top	3482.0	-999	HORIZON
Yabl_003	M-5n_base	3506.0	-999	HORIZON
Yabl_003	M-6_top	3519.0	-999	HORIZON
Yabl_003	M-6_base	3566.0	-999	HORIZON
Yabl_003	M-7_top	3577.0	-999	HORIZON
Yabl_003	M-7_base	3616.0	-999	HORIZON
Yabl_003	B-3_top	3629.0	-999	HORIZON
Yabl_003	B-3_base	3637.0	-999	HORIZON
Yabl_003	B-4_top	3644.0	-999	HORIZON
Yabl_003	B-4_base	3674.0	-999	HORIZON
Yabl_003	B-5_top	3707.0	-999	HORIZON
Yabl_003	B-5_base	3749.0	-999	HORIZON
Yabl_003	B-6_top	3752.0	-999	HORIZON
Yabl_003	B-6_base	3801.0	-999	HORIZON
Yabl_003	B-8_top	3813.0	-999	HORIZON
Yabl_003	B-8_base	3826.0	-999	HORIZON
Yabl_003	B-10_top	3883.0	-999	HORIZON
Yabl_003	B-10_base	3903.0	-999	HORIZON
Yabl_003	B-11_top	3928.0	-999	HORIZON
Yabl_003	B-11_base	3940.0	-999	HORIZON
Yabl_003	V-15_top	3954.0	-999	HORIZON
Yabl_003	V-15_base	3990.0	-999	HORIZON
Yabl_003	V-16_top	4001.0	-999	HORIZON
Yabl_003	V-16_base	4040.0	-999	HORIZON
Yabl_003	V-17v_top	4054.0	-999	HORIZON
Yabl_003	V-17v_base	4126.0	-999	HORIZON
Yabl_003	V-17v1_top	4054.0	-999	HORIZON
Yabl_003	V-17v1_base	4060.0	-999	HORIZON
Yabl_003	V-17v2_top	4066.0	-999	HORIZON
Yabl_003	V-17v2_base	4113.0	-999	HORIZON
Yabl_003	V-17v3_top	4118.0	-999	HORIZON
Yabl_003	V-17v3_base	4126.0	-999	HORIZON
Yabl_003	V-17n1_top	4142.0	-999	HORIZON
Yabl_003	V-17n1_base	4173.0	-999	HORIZON
Yabl_003	V-17n2_top	4179.0	-999	HORIZON
Yabl_003	V-17n2_base	4196.0	-999	HORIZON
Yabl_003	V-17n3_top	4201.0	-999	HORIZON
Yabl_003	V-17n3_base	4217.0	-999	HORIZON
Yabl_003	V-18_top	4234.0	-999	HORIZON
Yabl_003	V-18_base	4306.0	-999	HORIZON
Yabl_003	V-18v_top	4234.0	-999	HORIZON
Yabl_003	V-18v_base	4251.0	-999	HORIZON
Yabl_003	V-18s_top	4256.0	-999	HORIZON
Yabl_003	V-18s_base	4274.0	-999	HORIZON
Yabl_003	V-18n_top	4285.0	-999	HORIZON
Yabl_003	V-18n_base	4306.0	-999	HORIZON
Yabl_003	V-19_top	4326.0	-999	HORIZON
Yabl_003	V-19_base	4345.0	-999	HORIZON
Yabl_003	V-20_top	4374.0	-999	HORIZON
Yabl_003	V-20_base	4385.0	-999	HORIZON
Yabl_003	V-21_top	4387.0	-999	HORIZON
Yabl_003	V-21_base	4407.0	-999	HORIZON
Yabl_003	V-22_top	4447.0	-999	HORIZON
Yabl_003	V-22_base	4528.0	-999	HORIZON
Yabl_003	V-22v_top	4447.0	-999	HORIZON
Yabl_003	V-22v_base	4459.0	-999	HORIZON
Yabl_003	V-22n_top	4479.0	-999	HORIZON
Yabl_003	V-22n_base	4528.0	-999	HORIZON
Yabl_003	V-23_top	4567.0	-999	HORIZON
Yabl_003	V-23_base	4597.0	-999	HORIZON
Yabl_003	V-24_top	4597.0	-999	HORIZON
Yabl_003	V-25_base	4745.0	-999	HORIZON
Yabl_003	V-26_top	4764.0	-999	HORIZON
Yabl_003	V-26_base	4899.0	-999	HORIZON
Yabl_003	T-1_top	4899.0	-999	HORIZON
Yabl_003	T-1_base	5073.0	-999	HORIZON
Yabl_003	D3fm2 (oz-hv)_top	5073.0	-999	HORIZON
Yabl_003	D3fm2 (oz-hv)_base	5114.0	-999	HORIZON
Yabl_003	D3fm2 (dn-lb)_top	5114.0	-999	HORIZON
Yabl_003	D3fm2 (dn-lb)_base	5152.0	-999	HORIZON
Yabl_004	M-2_top	3052.0	-999	HORIZON
Yabl_004	M-2_base	3095.0	-999	HORIZON
Yabl_004	M-3_top	3104.0	-999	HORIZON
Yabl_004	M-3_base	3129.0	-999	HORIZON
Yabl_004	M-4_top	3157.0	-999	HORIZON
Yabl_004	M-4_base	3187.0	-999	HORIZON
Yabl_004	M-5v_top	3203.0	-999	HORIZON
Yabl_004	M-5v_base	3232.0	-999	HORIZON
Yabl_004	M-5n_top	3239.0	-999	HORIZON
Yabl_004	M-5n_base	3286.0	-999	HORIZON
Yabl_004	M-6_top	3297.0	-999	HORIZON
Yabl_004	M-6_base	3351.0	-999	HORIZON
Yabl_004	M-7_top	3359.0	-999	HORIZON
Yabl_004	M-7_base	3457.0	-999	HORIZON
Yabl_004	B-7_top	3466.0	-999	HORIZON
Yabl_004	B-7_base	3472.0	-999	HORIZON
Yabl_004	B-8_top	3482.0	-999	HORIZON
Yabl_004	B-8_base	3496.0	-999	HORIZON
Yabl_004	B-10_top	3551.0	-999	HORIZON
Yabl_004	B-10_base	3566.0	-999	HORIZON
Yabl_004	B-11_top	3605.0	-999	HORIZON
Yabl_004	B-11_base	3622.0	-999	HORIZON
Yabl_004	S-23_top	3689.0	-999	HORIZON
Yabl_004	S-23_base	3724.0	-999	HORIZON
Yabl_004	V-15_top	3801.0	-999	HORIZON
Yabl_004	V-15_base	3833.0	-999	HORIZON
Yabl_004	V-16_top	3842.0	-999	HORIZON
Yabl_004	V-16_base	3884.0	-999	HORIZON
Yabl_004	V-17v_top	3889.0	-999	HORIZON
Yabl_004	V-17v_base	4001.0	-999	HORIZON
Yabl_004	V-17v1_top	3889.0	-999	HORIZON
Yabl_004	V-17v1_base	3926.0	-999	HORIZON
Yabl_004	V-17v2_top	3934.0	-999	HORIZON
Yabl_004	V-17v2_base	3967.0	-999	HORIZON
Yabl_004	V-17v3_top	3977.0	-999	HORIZON
Yabl_004	V-17v3_base	4001.0	-999	HORIZON
Yabl_004	V-17n1_top	4008.0	-999	HORIZON
Yabl_004	V-17n1_base	4027.0	-999	HORIZON
Yabl_004	V-17n2_top	4039.0	-999	HORIZON
Yabl_004	V-17n2_base	4081.0	-999	HORIZON
Yabl_004	V-17n3_top	4086.0	-999	HORIZON
Yabl_004	V-17n3_base	4099.0	-999	HORIZON
Yabl_004	V-18_top	4123.0	-999	HORIZON
Yabl_004	V-18_base	4195.0	-999	HORIZON
Yabl_004	V-18v_top	4123.0	-999	HORIZON
Yabl_004	V-18v_base	4145.0	-999	HORIZON
Yabl_004	V-18s_top	4152.0	-999	HORIZON
Yabl_004	V-18s_base	4167.0	-999	HORIZON
Yabl_004	V-18n_top	4171.0	-999	HORIZON
Yabl_004	V-18n_base	4195.0	-999	HORIZON
Yabl_004	V-19_top	4210.0	-999	HORIZON
Yabl_004	V-19_base	4235.0	-999	HORIZON
Yabl_004	V-20_top	4250.0	-999	HORIZON
Yabl_004	V-20_base	4272.0	-999	HORIZON
Yabl_004	V-21_top	4272.0	-999	HORIZON
Yabl_004	V-21_base	4295.0	-999	HORIZON
Yabl_004	V-22_top	4349.0	-999	HORIZON
Yabl_004	V-22_base	4424.0	-999	HORIZON
Yabl_004	V-22v_top	4349.0	-999	HORIZON
Yabl_004	V-22v_base	4367.0	-999	HORIZON
Yabl_004	V-22n_top	4375.0	-999	HORIZON
Yabl_004	V-22n_base	4424.0	-999	HORIZON
Yabl_004	V-23_top	4500.0	-999	HORIZON
Yabl_004	V-23_base	4521.0	-999	HORIZON
Yabl_004	V-24_top	4521.0	-999	HORIZON
Yabl_004	V-25_base	4679.0	-999	HORIZON
Yabl_004	V-26_top	4695.0	-999	HORIZON
Yabl_004	V-26_base	4830.0	-999	HORIZON
Yabl_004	T-1_top	4830.0	-999	HORIZON
Yabl_004	T-1_base	4976.0	-999	HORIZON
Yabl_004	D3fm2 (oz-hv)_top	4976.0	-999	HORIZON
Yabl_004	D3fm2 (oz-hv)_base	5007.0	-999	HORIZON
Yabl_004	D3fm2 (dn-lb)_top	5007.0	-999	HORIZON
Yabl_004	D3fm2 (dn-lb)_base	5163.0	-999	HORIZON
Yabl_004	D3fm1 (zd-el)_top	5163.0	-999	HORIZON
Yabl_004	D3fm1 (zd-el)_base	5201.0	-999	HORIZON
Yabl_004	salt	5195.0	-999	HORIZON
Yabl_005	M-1_top	2956.0	-999	HORIZON
Yabl_005	M1_base	3003.0	-999	HORIZON
Yabl_005	M-2_top	3020.0	-999	HORIZON
Yabl_005	M-2_base	3097.0	-999	HORIZON
Yabl_005	M-3_top	3110.0	-999	HORIZON
Yabl_005	M-3_base	3210.0	-999	HORIZON
Yabl_005	M-4_top	3214.0	-999	HORIZON
Yabl_005	M-4_base	3234.0	-999	HORIZON
Yabl_005	M-5v_top	3257.0	-999	HORIZON
Yabl_005	M-5v_base	3286.0	-999	HORIZON
Yabl_005	M-5n_top	3302.0	-999	HORIZON
Yabl_005	M-5n_base	3312.0	-999	HORIZON
Yabl_005	M-6_top	3318.0	-999	HORIZON
Yabl_005	M-6_base	3333.0	-999	HORIZON
Yabl_005	B-10_top	3375.0	-999	HORIZON
Yabl_005	B-10_base	3388.0	-999	HORIZON
Yabl_005	B-11_top	3400.0	-999	HORIZON
Yabl_005	B-11_base	3410.0	-999	HORIZON
Yabl_005	S-23_top	3453.0	-999	HORIZON
Yabl_005	S-23_base	3490.0	-999	HORIZON
Yabl_005	V-15_top	3600.0	-999	HORIZON
Yabl_005	V-15_base	3607.0	-999	HORIZON
Yabl_005	V-16_top	3619.0	-999	HORIZON
Yabl_005	V-16_base	3649.0	-999	HORIZON
Yabl_005	V-17v_top	3656.0	-999	HORIZON
Yabl_005	V-17v_base	3738.0	-999	HORIZON
Yabl_005	V-17v1_top	3656.0	-999	HORIZON
Yabl_005	V-17v1_base	3663.0	-999	HORIZON
Yabl_005	V-17v2_top	3668.0	-999	HORIZON
Yabl_005	V-17v2_base	3727.0	-999	HORIZON
Yabl_005	V-17v3_top	3731.0	-999	HORIZON
Yabl_005	V-17v3_base	3738.0	-999	HORIZON
Yabl_005	V-17n1_top	3759.0	-999	HORIZON
Yabl_005	V-17n1_base	3781.0	-999	HORIZON
Yabl_005	V-17n2_top	3791.0	-999	HORIZON
Yabl_005	V-17n2_base	3806.0	-999	HORIZON
Yabl_005	V-17n3_top	3810.0	-999	HORIZON
Yabl_005	V-17n3_base	3828.0	-999	HORIZON
Yabl_005	V-18_top	3854.0	-999	HORIZON
Yabl_005	V-18_base	3917.0	-999	HORIZON
Yabl_005	V-18v_top	3854.0	-999	HORIZON
Yabl_005	V-18v_base	3874.0	-999	HORIZON
Yabl_005	V-18s_top	3879.0	-999	HORIZON
Yabl_005	V-18s_base	3896.0	-999	HORIZON
Yabl_005	V-18n_top	3904.0	-999	HORIZON
Yabl_005	V-18n_base	3917.0	-999	HORIZON
Yabl_005	V-19_top	3928.0	-999	HORIZON
Yabl_005	V-19_base	3962.0	-999	HORIZON
Yabl_006	M-1_top	3055.0	-999	HORIZON
Yabl_006	M1_base	3107.0	-999	HORIZON
Yabl_006	M-2_top	3116.0	-999	HORIZON
Yabl_006	M-2_base	3172.0	-999	HORIZON
Yabl_006	M-3_top	3178.0	-999	HORIZON
Yabl_006	M-3_base	3237.0	-999	HORIZON
Yabl_006	M-4_top	3256.0	-999	HORIZON
Yabl_006	M-4_base	3291.0	-999	HORIZON
Yabl_006	M-5v_top	3312.0	-999	HORIZON
Yabl_006	M-5v_base	3335.0	-999	HORIZON
Yabl_006	M-5n_top	3348.0	-999	HORIZON
Yabl_006	M-5n_base	3370.0	-999	HORIZON
Yabl_006	M-6_top	3381.0	-999	HORIZON
Yabl_006	M-6_base	3442.0	-999	HORIZON
Yabl_006	M-7_top	3456.0	-999	HORIZON
Yabl_006	M-7_base	3546.0	-999	HORIZON
Yabl_006	B-4_top	3549.0	-999	HORIZON
Yabl_006	B-4_base	3564.0	-999	HORIZON
Yabl_006	B-5_top	3593.0	-999	HORIZON
Yabl_006	B-5_base	3626.0	-999	HORIZON
Yabl_006	B-6_top	3646.0	-999	HORIZON
Yabl_006	B-6_base	3698.0	-999	HORIZON
Yabl_006	B-8_top	3732.0	-999	HORIZON
Yabl_006	B-8_base	3751.0	-999	HORIZON
Yabl_006	B-10_top	3804.0	-999	HORIZON
Yabl_006	B-10_base	3831.0	-999	HORIZON
Yabl_006	B-11_top	3851.0	-999	HORIZON
Yabl_006	B-11_base	3878.0	-999	HORIZON
Yabl_006	S-8_top	3908.0	-999	HORIZON
Yabl_006	S-8_base	3920.0	-999	HORIZON
Yabl_006	S-23_top	4006.0	-999	HORIZON
Yabl_006	S-23_base	4038.0	-999	HORIZON
Yabl_006	V-15_top	4124.0	-999	HORIZON
Yabl_006	V-15_base	4163.0	-999	HORIZON
Yabl_006	V-16_top	4178.0	-999	HORIZON
Yabl_006	V-16_base	4198.0	-999	HORIZON
Yabl_006	V-17v_top	4200.0	-999	HORIZON
Yabl_006	V-17v_base	4271.0	-999	HORIZON
Yabl_006	V-17v1_top	4200.0	-999	HORIZON
Yabl_006	V-17v1_base	4204.0	-999	HORIZON
Yabl_006	V-17v2_top	4205.0	-999	HORIZON
Yabl_006	V-17v2_base	4258.0	-999	HORIZON
Yabl_006	V-17v3_top	4262.0	-999	HORIZON
Yabl_006	V-17v3_base	4272.0	-999	HORIZON
Yabl_006	V-17n1_top	4291.0	-999	HORIZON
Yabl_006	V-17n1_base	4322.0	-999	HORIZON
Yabl_006	V-18_top	4333.0	-999	HORIZON
Yabl_006	V-18_base	4404.0	-999	HORIZON
Yabl_006	V-18v_top	4333.0	-999	HORIZON
Yabl_006	V-18v_base	4349.0	-999	HORIZON
Yabl_006	V-18s_top	4355.0	-999	HORIZON
Yabl_006	V-18s_base	4382.0	-999	HORIZON
Yabl_006	V-18n_top	4391.0	-999	HORIZON
Yabl_006	V-18n_base	4404.0	-999	HORIZON
Yabl_006	V-19_top	4420.0	-999	HORIZON
Yabl_006	V-19_base	4454.0	-999	HORIZON
Yabl_006	V-20_top	4466.0	-999	HORIZON
Yabl_006	V-20_base	4497.0	-999	HORIZON
Yabl_006	V-21_top	4497.0	-999	HORIZON
Yabl_006	V-21_base	4513.0	-999	HORIZON
Yabl_006	V-22_top	4540.0	-999	HORIZON
Yabl_006	V-22_base	4632.0	-999	HORIZON
Yabl_006	V-22v_top	4540.0	-999	HORIZON
Yabl_006	V-22v_base	4565.0	-999	HORIZON
Yabl_006	V-22n_top	4578.0	-999	HORIZON
Yabl_006	V-22n_base	4632.0	-999	HORIZON
Yabl_006	V-23_top	4690.0	-999	HORIZON
Yabl_006	V-23_base	4713.0	-999	HORIZON
Yabl_006	V-24_top	4713.0	-999	HORIZON
Yabl_006	V-25_base	4836.0	-999	HORIZON
Yabl_006	V-26_top	4858.0	-999	HORIZON
Yabl_006	V-26_base	4983.0	-999	HORIZON
Yabl_006	T-1_top	4983.0	-999	HORIZON
Yabl_006	T-1_base	5138.0	-999	HORIZON
Yabl_006	D3fm2 (oz-hv)_top	5138.0	-999	HORIZON
Yabl_006	D3fm2 (oz-hv)_base	5170.0	-999	HORIZON
Yabl_006	D3fm2 (dn-lb)_top	5170.0	-999	HORIZON
Yabl_006	D3fm2 (dn-lb)_base	5201.0	-999	HORIZON
Yabl_007	M-1_top	3165.0	-999	HORIZON
Yabl_007	M1_base	3212.0	-999	HORIZON
Yabl_007	M-2_top	3229.0	-999	HORIZON
Yabl_007	M-2_base	3283.0	-999	HORIZON
Yabl_007	M-3_top	3295.0	-999	HORIZON
Yabl_007	M-3_base	3369.0	-999	HORIZON
